ID,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
37,"When scaling a Virtual Warehouse, what is the difference between 'Scaling Up' and 'Scaling Out'?","Scaling up adds more clusters; Scaling out increases the warehouse size (e.g., Small to Large)",Scaling up increases warehouse size; Scaling out adds more clusters to handle concurrency,Scaling up increases storage; Scaling out increases compute,There is no difference,B,"Scaling up (resizing) improves performance for complex queries, while scaling out (multi-cluster) handles concurrent queries from multiple users."
38,Which type of table in Snowflake does NOT have a Fail-safe period?,Permanent tables,Transient tables,Directory tables,Clustered tables,B,"Transient and Temporary tables do not have a Fail-safe period, saving storage costs for data that does not require disaster recovery."
39,What is the primary use case for Snowflake's Snowpipe?,Batch loading massive historical datasets,Continuous data loading from cloud storage as files arrive,Transforming JSON data into relational tables,Replicating data across regions,B,"Snowpipe is designed for continuous, automated data ingestion in micro-batches from cloud storage (e.g., S3, Azure Blob) as soon as files are staged."
40,"Which data type is optimized in Snowflake for storing and querying semi-structured data like JSON, Avro, and Parquet?",VARCHAR,OBJECT,VARIANT,ARRAY,C,The VARIANT data type allows Snowflake to store semi-structured data natively and query it efficiently using path notation.
41,What happens when a Virtual Warehouse is 'Auto-suspended'?,Queries are queued indefinitely,"Compute resources are released, and billing stops for that warehouse",Storage costs are eliminated,The warehouse is permanently deleted,B,"Auto-suspend stops the compute resources when the warehouse is idle, pausing credit consumption."
42,"In Snowflake, what is a Materialized View?",A read-only view that cannot be queried,A pre-computed dataset derived from a query specification and stored for later use,A view that enforces Row-Level Security,A dynamic view that runs the underlying query every time it is accessed,B,"Materialized views pre-compute and store the results of a query, improving performance for complex, frequently run queries."
43,Which Snowflake cache stores the raw results of a query for 24 hours?,Warehouse Cache,Metadata Cache,Result Cache,Local Disk Cache,C,"The Result Cache holds the results of every query executed in the past 24 hours, returning them instantly if the underlying data hasn't changed."
44,What is the purpose of an External Table in Snowflake?,To securely share data with other Snowflake accounts,To query data stored in an external cloud data lake without loading it into Snowflake storage,To back up Snowflake data to an on-premises database,To load temporary data into a session,B,External tables allow you to query data in external stages (like S3) using SQL without moving the data into Snowflake's internal micro-partitions.
45,How does Snowflake's Search Optimization Service improve query performance?,By increasing the size of the virtual warehouse automatically,By creating a background maintenance service that maintains persistent data structures for fast point lookups,By dropping un-queried micro-partitions,By caching all database queries in memory,B,"It maintains an advanced indexing structure in the background to significantly speed up highly selective point lookups (e.g., searching for a specific ID)."
46,Which SQL command is used to convert semi-structured nested data into a tabular format in Snowflake?,UNNEST,FLATTEN,PIVOT,TRANSFORM,B,The FLATTEN table function is used to unnest arrays or objects within semi-structured VARIANT data into rows.
47,Which Snowflake concept ensures that data shared via Secure Data Sharing is always up-to-date for the consumer?,Data replication jobs,Scheduled Tasks,Zero-Copy architecture,ETL pipelines,C,"Because Data Sharing uses Snowflake's metadata and zero-copy architecture, consumers query the provider's live data directly with no movement or delay."
48,What is the function of a Storage Integration in Snowflake?,To connect Snowflake to an on-premises SQL Server,To securely delegate authentication responsibility for external cloud storage to an IAM entity,To encrypt internal Snowflake tables,To calculate storage costs,B,Storage integrations allow Snowflake to read/write to external cloud storage without passing explicit cloud credentials (like AWS secret keys) in SQL.
49,Which network security feature allows you to restrict access to your Snowflake account based on user IP addresses?,Dynamic Data Masking,VPC Peering,Network Policies,Row Access Policies,C,Network Policies allow account administrators to restrict or allow access to a Snowflake account based on a list of IP addresses.
50,What is the main limitation of using a Temporary table in Snowflake?,It cannot hold more than 1GB of data,It is only visible to the user/session that created it and is dropped when the session ends,It cannot be queried using standard SQL,It incurs higher storage costs than permanent tables,B,Temporary tables exist only for the duration of the user session that created them and are dropped automatically upon disconnect.
51,Which Snowflake role has the privileges of both SYSADMIN and SECURITYADMIN?,USERADMIN,PUBLIC,ACCOUNTADMIN,ORGADMIN,C,"The ACCOUNTADMIN role encapsulates the privileges of SYSADMIN and SECURITYADMIN, representing the top-level account administrator."
52,"In Snowflake's query profile, what does 'Spilling to remote storage' indicate?",The query is executing optimally,"The virtual warehouse memory is full, and data is spilling to local disk, then to remote storage, slowing down performance",The query result is being saved as an external table,The Result Cache is full,B,"Spilling to local or remote storage indicates the query requires more memory than the warehouse has, significantly degrading performance."
53,Which Snowflake object can execute a SQL statement automatically on a defined schedule?,Stream,Pipe,Task,Trigger,C,"Tasks can be configured to execute a single SQL statement or a stored procedure on a scheduled basis (e.g., every hour)."
54,How is data encrypted in Snowflake?,Encryption must be enabled manually by the ACCOUNTADMIN,Data is unencrypted by default to ensure fast query performance,All data is automatically encrypted at rest and in transit using AES-256,Only Enterprise Edition supports encryption,C,"Snowflake automatically secures all customer data using AES-256 encryption at rest and TLS in transit, transparently to the user."
55,Which utility is a command-line interface (CLI) for executing Snowflake SQL queries and performing DDL/DML operations?,SnowSQL,Snowsight,SnowCD,Snowpipe,A,SnowSQL is the command-line client for connecting to Snowflake to execute SQL queries and perform all DDL and DML operations.
56,"In Excel, what is a primary advantage of using INDEX and MATCH over VLOOKUP?",INDEX/MATCH can return multiple arrays at once,INDEX/MATCH can look up values to the left of the lookup column,INDEX/MATCH automatically handles errors without IFERROR,INDEX/MATCH does not require exact matches,B,"VLOOKUP can only search for a value in the leftmost column of a table array, whereas INDEX/MATCH can look up data in any column."
57,"Which Excel function evaluates an expression and returns a specific value if the expression results in an error, otherwise returning the result of the expression?",IFERROR,ISERROR,IFNA,ERROR.TYPE,A,"IFERROR allows you to handle all formula errors (like #N/A, #VALUE!, #DIV/0!) and replace them with a custom value or text."
58,What does the Excel dynamic array function 'FILTER' do?,Hides rows in a worksheet based on a condition,"Returns an array of data that meets one or more criteria, spilling into adjacent cells",Deletes data that does not match the criteria,Creates a PivotTable automatically,B,The FILTER function filters a range of data based on criteria you define and returns an array of matching values that 'spills' into neighboring cells.
59,What happens if a dynamic array formula attempts to spill data into a cell that already contains data?,The existing data is overwritten,The formula returns a #SPILL! error,The formula returns a #VALUE! error,The formula shifts the existing cells down,B,Excel prevents data loss by returning a #SPILL! error instead of overwriting existing data. The spill range must be empty.
60,"Which Excel feature is designed to find the optimal value for a formula in one cell by adjusting the values in multiple other cells, subject to constraints?",Goal Seek,Scenario Manager,Data Table,Solver,D,"Solver is an add-in for complex 'what-if' analysis that can adjust multiple variables and apply constraints to find an optimal maximum, minimum, or specific value."
61,What does the INDIRECT function do in Excel?,Converts a text string into a valid cell reference,Looks up a value in another workbook,Creates a dynamic named range automatically,Calculates the indirect costs in a financial model,A,INDIRECT takes a text string (like 'A1' or 'Sheet2!B5') and resolves it into an actual cell reference that Excel formulas can use.
62,Why is the OFFSET function considered 'volatile' in Excel?,It easily causes circular references,"It recalculates every time any change is made to the worksheet, potentially slowing down performance",It constantly changes the formatting of cells,It cannot be used with named ranges,B,"Volatile functions recalculate upon any change in the workbook, not just when their precedent cells change, which can heavily impact performance in large models."
63,"In a PivotTable, what is the difference between a Calculated Field and a Calculated Item?",A Calculated Field operates on row labels; a Calculated Item operates on values,A Calculated Field creates a new measure based on existing value fields; a Calculated Item creates a new row/column element based on existing items within a field,There is no difference,Calculated Items use DAX; Calculated Fields use standard Excel formulas,B,"Calculated Fields add a new data field using formulas based on other fields, while Calculated Items add a new element within a specific row or column field."
64,Which DAX function is NOT part of standard Excel formulas but is heavily used in Excel's Power Pivot Data Model?,SUMIFS,CALCULATE,VLOOKUP,INDEX,B,CALCULATE is a foundational DAX function used in Power Pivot to evaluate an expression in a modified filter context.
65,What is the primary purpose of Power Query in Excel?,To create advanced dashboard visualizations,To perform complex statistical analysis,"To extract, transform, and load (ETL) data from various sources into Excel",To run VBA macros automatically,C,"Power Query (Get & Transform Data) is a data connection technology that enables you to discover, connect, combine, and refine data."
66,How do you apply a single Slicer to multiple PivotTables in Excel?,By grouping the PivotTables together,By using the 'Report Connections' option in the Slicer settings,By writing a VBA macro,It is not possible,B,Right-clicking the Slicer and selecting 'Report Connections' allows you to link the slicer to multiple PivotTables that share the same data cache.
67,"Which Excel feature is best suited to test multiple variables in formulas to see how they affect a single result, without using an Add-in?",Goal Seek,Data Table (What-If Analysis),Flash Fill,Power Query,B,Data Tables allow you to see the results of multiple inputs (one or two variables) in a single formula array natively.
68,What does the XLOOKUP function do if it cannot find a match and no 'if_not_found' parameter is provided?,Returns 0,Returns #N/A,Returns #VALUE!,Returns a blank cell,B,"Like VLOOKUP, if an exact match is not found and no error-handling argument is given, XLOOKUP defaults to returning the #N/A error."
69,"In an Excel Data Validation rule, how can you restrict users to only enter dates that fall on a weekday?",Select 'Date' and choose 'Weekdays only',Use a Custom validation rule with the WORKDAY function,Use a Custom validation rule with the WEEKDAY function,Apply conditional formatting,C,"You can use a Custom formula like `=WEEKDAY(A1, 2)<6` to ensure the entered date is Monday through Friday."
70,"What is the result of using the formula `=TEXTJOIN("", "", TRUE, A1:A3)` if cell A2 is completely empty?",It returns an error,"It includes a blank space with two commas (e.g., Data1, , Data3)","It ignores the empty cell and joins A1 and A3 (e.g., Data1, Data3)",It stops calculating at A2,C,The second argument `TRUE` tells the TEXTJOIN function to ignore empty cells in the specified range.
71,"Which array function evaluates multiple conditions and multiplies corresponding arrays, summing the result, often used as an alternative to SUMIFS?",SUMSQ,SUMPRODUCT,SUBTOTAL,AGGREGATE,B,"SUMPRODUCT multiplies ranges or arrays together and returns the sum of products, making it a powerful tool for multi-criteria summing without requiring Ctrl+Shift+Enter."
72,What is the primary benefit of the LET function in Excel 365?,It creates custom VBA macros without coding,"It allows you to assign names to calculation results within a formula, improving readability and performance",It lets users bypass sheet protection,It translates formulas into different languages,B,"LET assigns names to calculation results or values. This allows storing intermediate calculations inside a formula, stopping Excel from calculating the same expression multiple times."
73,"When writing an M language formula in Power Query, are the function names case-sensitive?","Yes, entirely case-sensitive","No, they are case-insensitive",Only for custom functions,Only for database connectors,A,"The M formula language used in Power Query is strictly case-sensitive (e.g., `Table.SelectRows` is different from `table.selectrows`)."
74,"How can you securely protect specific cells in an Excel worksheet so they cannot be edited, while allowing other cells to be changed?",Use 'Protect Workbook' on the Review tab,"Lock the specific cells via Format Cells, then apply 'Protect Sheet'",Hide the specific cells and protect the workbook,Add a password to open the file,B,Cell locking only takes effect when the worksheet is protected. You must ensure editable cells are 'Unlocked' and read-only cells are 'Locked' before protecting the sheet.
75,What is the difference between EOMONTH and EDATE functions?,EOMONTH adds days; EDATE adds months,EOMONTH returns the last day of the month; EDATE returns the exact date a specified number of months in the past/future,EDATE is volatile; EOMONTH is not,There is no difference,B,"EDATE(start_date, months) gives the exact day in the target month, while EOMONTH(start_date, months) gives the final day of the target month."
76,What is the purpose of the LAMBDA function in Excel?,To connect to AWS Lambda services,"To create custom, reusable functions without using VBA",To calculate complex statistical logarithms,To parse JSON data,B,LAMBDA allows users to define custom functions using standard Excel formulas and name them in the Name Manager for reuse across the workbook.
77,"Which function extracts the numerical value from a text string that looks like a number, allowing it to be used in calculations?",TEXT,VALUE,EXACT,FIND,B,The VALUE function converts a text string that represents a number into an actual numeric value.
78,"When analyzing data with a PivotTable, what does the GETPIVOTDATA function do?",It extracts visible data from a PivotTable based on specific data field and item names,It converts the PivotTable back into a standard data range,It refreshes the PivotTable automatically,It returns the underlying SQL query of the PivotTable,A,"GETPIVOTDATA queries a PivotTable to retrieve specific data points, ensuring that the reference remains accurate even if the PivotTable layout changes."
79,"Which feature allows Excel to recognize patterns in data entry and automatically fill in the remaining values (e.g., extracting first names from full names)?",AutoCorrect,Flash Fill,Text to Columns,Data Validation,B,Flash Fill (Ctrl+E) senses patterns in the data you type and automatically fills in the rest of the column based on that pattern.
80,What causes a 'Circular Reference' warning in Excel?,"A formula refers back to its own cell directly or indirectly, creating an infinite loop",A macro fails to stop running,A PivotTable connects to a deleted data source,Two different files link to each other,A,"A circular reference occurs when a cell's formula calculates based on its own value, which Excel cannot resolve unless Iterative Calculation is enabled."
